ID,Age,Education,Marital Status,Income,Kid home,Teen home,AlcLiquidAmount,VegAmount,MeatAmt,FishAmt,ChocolateAmt,CommoditiesAmt,Country,LeadConvo
11191,36,Graduation,Divorced,"41,411.00",0,1,243,131,217,85,6,26,SP,0
11188,65,Graduation,Together,"26,091.00",0,0,68,129,396,188,22,15,SA,0
11187,44,Basic,Single,"26,487.00",0,0,1193,33,281,129,66,33,SP,0
11181,73,PhD,Married,"156,924.00",0,0,763,29,138,76,176,58,SA,0
11178,50,Master,Single,"42,394.00",0,1,709,43,182,42,118,247,SA,0
11176,52,PhD,Together,"65,968.00",0,1,97,1,41,6,2,41,AUS,0
11171,57,Master,Married,"56,962.00",0,1,95,14,64,2,9,38,US,0
11166,61,Graduation,Married,"49,678.00",0,1,407,53,221,58,150,26,SP,0
11148,47,Graduation,Together,"22,280.00",0,0,398,190,537,61,156,37,SP,0
11133,49,PhD,YOLO,"48,432.00",0,1,173,13,131,32,3,6,SP,0
11121,41,Graduation,Married,"19,419.00",0,0,518,42,742,55,56,84,GER,0
11114,52,Graduation,Together,"19,656.00",1,0,812,99,431,237,149,33,SA,0
11112,56,Graduation,Together,"70,713.00",2,0,11,0,5,0,0,1,SP,0
11110,49,Graduation,Single,"3,502.00",0,0,908,43,735,40,194,21,SP,0
11101,31,Graduation,Together,"89,891.00",0,0,1,3,4,2,3,11,SP,1
11100,50,Graduation,Divorced,"51,813.00",1,1,117,0,22,13,0,30,SP,0
11096,70,2nd Cycle,Together,"57,247.00",0,1,244,8,32,7,2,50,SP,0
11092,61,Graduation,Married,"27,116.00",0,0,516,56,449,86,33,16,SP,0
11091,69,Graduation,Together,"34,587.00",1,0,824,32,162,42,32,43,SA,0
11088,51,PhD,Together,"78,642.00",1,1,15,10,19,8,17,20,IND,0
11086,38,Basic,Single,"25,707.00",0,1,756,138,354,160,169,61,SA,0
11084,46,Master,Together,"65,104.00",0,0,112,17,44,34,22,89,AUS,0
11075,44,Graduation,Married,"51,267.00",0,0,99,27,102,28,48,6,GER,0
11074,45,Graduation,Single,"85,072.00",1,0,2,4,9,10,5,16,CA,0
11071,38,Graduation,Single,"79,607.00",1,1,4,0,4,0,0,5,GER,0
11056,48,Graduation,Married,"72,099.00",1,0,4,1,5,2,0,3,SP,0
11051,66,PhD,Together,"77,376.00",2,1,30,5,22,8,9,28,SA,0
11039,47,Graduation,Married,"51,948.00",1,0,342,32,230,34,32,40,SA,0
11031,72,PhD,Married,"48,699.00",0,1,404,0,92,28,27,142,SP,0
11030,46,Master,Married,"33,181.00",0,1,736,114,279,82,76,190,SP,1
11025,61,Graduation,Married,"36,443.00",1,1,515,47,181,149,95,95,SP,0
11013,35,Graduation,Together,"67,605.00",1,0,12,0,1,0,0,6,SP,0
11010,38,PhD,Single,"16,269.00",0,0,532,21,127,26,20,20,SP,0
11007,54,PhD,Married,"29,187.00",0,0,294,142,218,164,58,151,AUS,0
11004,129,2nd Cycle,Single,"60,182.00",0,1,262,6,61,0,10,102,SP,0
11003,42,2nd Cycle,Together,"25,130.00",0,0,817,185,687,145,55,241,SP,0
10995,34,2nd Cycle,Married,"15,716.00",0,0,196,25,607,67,17,49,AUS,0
10992,55,Graduation,Together,"75,702.00",1,0,6,6,15,10,5,2,US,0
10991,62,Master,Married,"89,058.00",1,1,20,2,23,3,1,4,SA,0
10983,70,Graduation,Together,"75,278.00",1,1,9,1,3,0,4,8,SP,0
10981,34,Graduation,Married,"84,219.00",0,1,7,11,3,10,4,20,IND,0
10972,73,Graduation,Widow,"72,298.00",0,0,17,8,12,11,15,32,SP,2
10971,45,Graduation,Single,"37,774.00",0,1,204,7,149,20,15,66,SA,1
10968,53,Graduation,Single,"57,731.00",0,2,27,2,7,0,2,13,SP,0
10967,59,Graduation,Divorced,"33,378.00",0,1,138,39,63,55,18,21,AUS,0
10965,67,Graduation,Together,"76,005.00",1,1,44,5,19,0,4,19,SP,1
10955,58,Graduation,Widow,"85,620.00",0,0,32,0,8,23,4,18,SP,0
10951,54,Graduation,Married,"45,688.00",0,1,243,11,119,10,3,15,IND,1
10949,59,PhD,Divorced,"72,968.00",1,0,31,3,31,2,8,4,SP,1
10936,57,Graduation,Married,"72,190.00",1,0,3,4,7,15,8,11,SP,0
10928,64,Graduation,Together,"66,886.00",1,1,100,2,16,2,1,31,AUS,0
10925,39,Graduation,Married,"76,630.00",1,0,30,0,10,2,0,5,CA,0
10914,52,Graduation,Single,"24,163.00",0,0,450,133,951,173,0,216,CA,0
10913,38,Master,Single,"31,385.00",0,1,531,69,300,150,138,150,CA,1
10909,74,Graduation,Married,"92,344.00",1,0,1,2,8,4,3,13,SP,2
10906,74,PhD,Together,"46,681.00",0,1,479,5,82,7,17,171,CA,0
10905,67,Graduation,Together,"42,586.00",1,1,600,21,128,223,150,128,SP,0
10897,48,Graduation,Married,"67,445.00",1,1,9,1,4,3,2,3,GER,0
10888,61,Graduation,Single,"45,938.00",0,1,280,0,18,0,0,24,US,0
10882,46,Graduation,Married,"53,858.00",0,2,411,0,26,0,0,21,CA,0
10872,53,PhD,Married,"55,212.00",0,0,389,91,248,64,49,41,SP,2
10870,55,Graduation,Married,"61,223.00",0,1,55,0,6,2,0,4,AUS,0
10868,71,Graduation,Widow,"70,792.00",0,1,61,0,3,0,0,7,SP,0
10862,62,Master,Married,"30,522.00",0,1,410,112,420,0,82,71,SP,0
10858,47,Graduation,Together,"76,532.00",0,0,1,9,7,2,14,10,SP,0
10856,42,2nd Cycle,Single,"45,889.00",0,1,383,0,53,6,4,40,SP,0
10855,54,Master,Single,"50,014.00",1,1,229,7,140,10,3,11,AUS,0
10854,52,PhD,Married,"38,853.00",1,2,986,36,168,16,0,108,SP,0
10846,44,Master,Married,"43,783.00",0,1,691,7,69,0,7,23,US,1
10841,47,PhD,Together,"56,559.00",0,1,110,5,137,26,23,29,SP,0
10839,46,Graduation,Together,"36,283.00",0,1,957,40,175,158,53,107,SP,0
10837,47,Graduation,Married,"23,957.00",0,1,415,5,124,15,35,11,SA,0
10833,47,Graduation,Married,"65,106.00",1,0,3,1,8,4,3,3,SA,1
10832,64,Graduation,Together,"46,610.00",0,0,258,105,239,237,172,9,SP,0
10827,55,PhD,Married,"36,947.00",0,0,398,96,447,220,96,32,SP,0
10826,63,Graduation,Married,"18,690.00",0,0,1478,19,403,0,19,0,SA,0
10821,44,Graduation,Married,"57,113.00",1,1,57,0,27,0,0,36,SP,0
10814,75,Graduation,Together,"70,321.00",0,1,9,1,5,2,1,4,AUS,0
10812,44,PhD,Married,"46,377.00",0,1,256,34,103,90,29,49,SP,0
10796,38,Master,Married,"30,477.00",0,0,184,174,256,50,30,32,CA,0
10795,49,PhD,Married,"37,401.00",0,1,376,9,83,19,4,4,CA,0
10790,37,PhD,Married,"18,169.00",0,0,189,104,379,111,189,218,SP,0
10789,58,PhD,Married,"45,759.00",0,1,545,7,114,37,21,78,SP,0
10785,53,Graduation,Married,"44,078.00",1,1,233,2,53,3,5,14,US,0
10779,39,Graduation,Single,"22,148.00",0,0,163,23,424,27,65,76,GER,0
10770,63,Graduation,Married,"65,492.00",1,0,23,0,11,2,1,3,SP,0
10767,33,PhD,Together,"77,845.00",1,1,9,1,7,0,3,2,AUS,2
